Component	ES2015 (non-MDC)	ES2015 (MDC)	Theme CSS (non-MDC)	Theme CSS (MDC)	Base CSS (non-MDC)	Base CSS (MDC)
app-forms	55997	63110	4335	5818	5047	23525
app-kitchen-sink	75875	86024	6689	10693	8956	19354
button	45092	45352	1046	1102	1150	20
card	37147	37041	299	532	803	1140
checkbox	49688	48561	684	968	1446	2892
chips	56666	55935	565	1218	890	2663
dialog	74685	79148	2619	3152	381	1800
form-field	55133	61777	1225	1837	2307	4037
list	51938	57482	750	1483	1901	5156
menu	84162	85884	837	1361	702	995
progress-bar	42273	40370	208	485	973	1357
progress-spinner	42917	45710	165	229	570	1288
radio	48619	49764	645	825	822	1897
slider	48197	51751	593	1211	1394	1183
slide-toggle	49016	48579	600	1014	853	2111
snack-bar	79785	63252	271	694	1361	5784
table	49562	49569	294	869	501	1915
tabs	76303	75812	1379	2615	1006	1754
