Component	ES2015 (non-MDC)	ES2015 (MDC)	Theme CSS (non-MDC)	Theme CSS (MDC)	Base CSS (non-MDC)	Base CSS (MDC)
app-forms	184677	214922	33496	57483	34519	169672
app-kitchen-sink	248397	289410	54672	140102	61536	150645
button	141123	144857	6696	10931	6616	0
card	114264	113978	551	2230	2790	4510
checkbox	155934	151952	2309	5864	7006	28599
chips	186545	194110	1935	18169	3326	5963
dialog	251992	267638	13964	17525	969	9580
form-field	180504	212228	8138	21657	14598	32088
list	166211	205091	2976	12554	14771	65209
menu	282678	290433	2298	6166	1856	3094
progress-bar	129400	125704	662	1914	5038	8096
progress-spinner	126304	136696	288	708	2468	8017
radio	152457	157195	2462	3620	2872	17620
slider	151028	168210	2776	12237	7984	5148
slide-toggle	153308	151671	1738	4485	3060	15801
snack-bar	269457	197789	409	2989	7312	31480
table	159371	159379	594	6175	2091	10483
tabs	248327	247311	15499	39185	4299	8639
